close,high,low,open,symbol,volume,id,key,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
477.71,,,,,72668233,,,2022-01-03,,0,,,,,,,,,,,,,0,0
477.55,,,,,71178678,,,2022-01-04,,-0.00033493123443086427,,,,,,,,,,,,,-0.15999999999996817,-0.0003
468.38,,,,,104538940,,,2022-01-05,,-0.019530677607753625,,,,,,,,,,,,,-9.170000000000016,-0.0192
467.94,,,,,86858900,,,2022-01-06,,-0.02045173850243868,,,,,,,,,,,,,-0.4399999999999977,-0.0009
466.09,,,,,85111593,,,2022-01-07,,-0.024324380900546366,,,,,,,,,,,,,-1.8500000000000227,-0.004
465.51,,,,,119361989,,,2022-01-10,,-0.02553850662535846,,,,,,,,,,,,,-0.5799999999999841,-0.0012
469.75,,,,,74303062,,,2022-01-11,,-0.01666282891293877,,,,,,,,,,,,,4.240000000000009,0.0091
471.02,,,,,67605444,,,2022-01-12,,-0.014004312239643294,,,,,,,,,,,,,1.2699999999999818,0.0027
464.53,,,,,91173121,,,2022-01-13,,-0.027589960436247948,,,,,,,,,,,,,-6.490000000000009,-0.0138
464.72,,,,,95890948,,,2022-01-14,,-0.027192229595361102,,,,,,,,,,,,,0.19000000000005457,0.0004
456.49,,,,,109872376,,,2022-01-18,,-0.04442025496640215,,,,,,,,,,,,,-8.230000000000018,-0.0177
451.75,,,,,109357569,,,2022-01-19,,-0.054342592786418495,,,,,,,,,,,,,-4.740000000000009,-0.0104
446.75,,,,,122379696,,,2022-01-20,,-0.0648091938623851,,,,,,,,,,,,,-5,-0.0111
437.98,,,,,202271241,,,2022-01-21,,-0.08316761214963045,,,,,,,,,,,,,-8.769999999999982,-0.0196
439.84,,,,,252496719,,,2022-01-24,,-0.07927403654937097,,,,,,,,,,,,,1.8599999999999568,0.0042
434.47,,,,,167997325,,,2022-01-25,,-0.09051516610495898,,,,,,,,,,,,,-5.369999999999948,-0.0122
433.38,,,,,186391088,,,2022-01-26,,-0.09279688513951977,,,,,,,,,,,,,-1.0900000000000318,-0.0025
431.24,,,,,149878307,,,2022-01-27,,-0.09727659040003343,,,,,,,,,,,,,-2.1399999999999864,-0.0049
441.95,,,,,164457370,,,2022-01-28,,-0.07485713089531304,,,,,,,,,,,,,10.70999999999998,0.0248
449.91,,,,,152251425,,,2022-01-31,,-0.05819430198237415,,,,,,,,,,,,,7.960000000000036,0.018
